"record_id","station_id","sample_datetime","latitude","longitude","water_temp_c","ph","dissolved_oxygen_mg_l","turbidity_ntu","conductivity_us_cm","nitrate_mg_l","phosphate_mg_l","chlorophyll_ug_l"
9,"STN_050","2021-05-16 07:09:51.199757",42.126944,-89.562591,6.81,7.57,7.72,2.14,436.1,2.162,0.174,11.39
11,"STN_007","2020-01-19 12:33:31.709446",41.063891,-86.076814,18.04,7.15,10.11,9.69,501.8,2.717,0.102,11.16
48,"STN_007","2022-08-17 15:15:18.95259",41.064431,-86.075215,15.3,7.36,7.08,8.56,472.3,2.314,0.052,8.08
55,"STN_007","2020-10-09 07:09:32.216336",41.065646,-86.076129,22.59,8,5.88,5.68,421.8,3.007,0.057,5.94
106,"STN_007","2021-04-15 15:21:13.092974",41.061948,-86.076377,12.87,7.2,8.77,9.12,513.8,1.663,0.177,11.62
171,"STN_047","2022-04-22 13:04:19.662328",44.146907,-91.973778,21.08,7.83,8.98,7.84,333.8,2.536,0.164,14.06
176,"STN_007","2020-06-24 17:05:20.263273",41.060484,-86.07579,17.2,7.73,8.32,4.04,415.8,2.525,0.06,12.02
187,"STN_047","2020-06-08 19:39:15.638366",44.146995,-91.974842,12.7,7.06,8.65,7.81,383.3,2.489,0.053,8.48
209,"STN_047","2020-04-22 21:04:06.830767",44.146228,-91.973091,10.17,7.26,8.94,6.57,321.5,1.639,0.083,13.06
215,"STN_007","2020-06-02 08:42:08.855659",41.063241,-86.076504,7.37,7.48,8.45,6.73,366.7,3.998,0.091,17.56
225,"STN_007","2022-10-07 18:31:13.173264",41.064101,-86.07626,22.05,7.21,7.05,6.78,390.7,2.963,0.027,12.7
265,"STN_050","2020-03-24 16:43:22.388144",42.125806,-89.561205,11.4,7.31,6.64,10.31,404.5,3.78,0.186,10.17
341,"STN_047","2020-03-26 08:05:37.37525",44.14723,-91.97482,18.73,7.91,7.87,8.02,385.3,1.098,0.084,6.2
345,"STN_050","2020-03-11 09:20:38.248846",42.12705,-89.562687,14.93,7.35,7.49,5.78,384,2.684,0.087,16.85
355,"STN_050","2022-10-08 00:16:17.416123",42.125194,-89.56143,7.91,7.39,7.37,7.76,433.7,1.055,0.202,13.76
356,"STN_050","2020-09-08 09:35:02.793623",42.12741,-89.561181,12.23,7.46,8.75,10.12,386.2,2.877,0.197,13.9
367,"STN_050","2020-09-30 06:01:28.270956",42.126972,-89.56208,9.79,7.41,9.63,0.31,308.8,1.282,0.085,5.42
377,"STN_050","2020-12-25 11:32:17.634706",42.127309,-89.56126,15.82,7.24,8.11,13.83,530.9,1.027,0.001,11.06
424,"STN_047","2020-12-07 21:47:46.317686",44.148975,-91.974838,10.99,7.03,6.99,7.07,423.3,3.512,0.055,4.57
428,"STN_047","2022-05-20 21:19:07.928314",44.14635,-91.975531,23.22,7.66,7.85,8.04,398.8,2.157,0.092,14.65
