"record_id","station_id","sample_datetime","latitude","longitude","water_temp_c","ph","dissolved_oxygen_mg_l","turbidity_ntu","conductivity_us_cm","nitrate_mg_l","phosphate_mg_l","chlorophyll_ug_l"
23,"STN_034","2020-10-07 13:50:35.368898",42.555987,-101.645154,9.9,7.48,9.49,8.02,344.9,2.884,0.138,6.63
27,"STN_034","2020-10-02 00:57:41.672433",42.556768,-101.642233,12.97,7.31,10.8,8.01,443.6,1.792,0.134,4.8
151,"STN_034","2020-10-09 05:16:40.588913",42.555083,-101.644321,19.14,7.61,8.9,4.88,371.3,1.679,0.079,3.33
197,"STN_034","2020-07-29 20:42:01.821197",42.555907,-101.640586,20.87,7.42,6.4,0.22,422.6,0.056,0.192,17.66
207,"STN_034","2022-05-21 00:35:29.632665",42.553625,-101.64189,16.04,7.83,10.13,6.83,384.8,1.496,0.082,12.61
228,"STN_034","2021-08-09 23:46:29.333868",42.555391,-101.644147,18.14,7.81,8.22,2.5,439.6,2.85,0.092,10.37
234,"STN_034","2022-03-26 18:19:35.06661",42.554923,-101.643873,12.54,7.38,6.06,4.23,304.4,2.906,0.115,1.55
236,"STN_034","2021-07-29 17:13:01.059004",42.556112,-101.642568,11.04,7.95,9.95,9.25,462.6,2.542,0.108,2.76
276,"STN_034","2020-04-30 06:05:30.180084",42.554252,-101.643339,16.99,7.19,8.33,0.25,350.8,2.343,0.035,6.66
280,"STN_034","2021-10-24 03:45:14.565763",42.555391,-101.644086,20.64,7.18,5.61,0.53,348.7,1.268,0.171,5.48
343,"STN_034","2022-06-03 17:41:28.447268",42.554123,-101.643941,12.59,7.5,11.2,4.74,461.2,3.189,0.108,4.13
378,"STN_034","2021-08-27 20:33:43.079103",42.555068,-101.644234,13.55,7.55,8.45,3.64,403,2.146,0.079,15.87
402,"STN_034","2020-08-23 01:57:29.986303",42.554874,-101.643736,12.57,8.01,7.96,2.45,380.4,1.4,0.087,3.86
423,"STN_034","2020-11-06 03:59:02.585251",42.555316,-101.643941,13.04,7.35,7.23,6.64,480.3,2.813,0.105,11.26
430,"STN_034","2021-04-30 13:41:49.892368",42.55491,-101.642065,15.74,7.45,9.65,6.08,320.4,1.031,0.115,16.49
440,"STN_034","2021-09-06 21:31:25.744489",42.555389,-101.643367,11.52,7.94,8.56,0.53,549.1,1.868,0.102,16.09
441,"STN_034","2022-01-23 09:35:24.922512",42.555981,-101.641683,18.96,7.26,7.69,7.97,356.9,0.161,0.198,11.44
